Freq(Ghz),??,Efficiency(dB),Gain(dBi)
0.4,0,0.05266232148938975,-22.18
0.5,0,0.15541752907715845,-12.5
0.6,0,0.4456562483975033,-2.45
0.7,0,0.9067759645839049,4.08
0.8,0,1.0826797151272995,6.51
0.91,0,1.1078985653742888,6.8
1.01,0,1.1078985653742888,7.35
1.11,0,1.109174815262401,7.79
1.21,0,1.1155781513508523,8.34
1.31,0,1.101539309541415,8.75
1.41,0,1.077705253694322,8.83
1.51,0,1.066596121230258,9.29
1.61,0,1.0727536478355297,9.8
1.72,0,1.0977412902737136,10.45
1.82,0,1.109174815262401,10.03
1.92,0,1.077705253694322,9.1
2.02,0,1.0715193052376064,9.35
2.12,0,1.070286382911385,9.55
2.22,0,1.0789467222298288,10.46
2.32,0,1.0977412902737136,10.74
2.42,0,1.1078985653742888,10.9
2.53,0,1.096478196143185,11.06
2.63,0,1.076465213629835,11.39
2.73,0,1.075226600392726,11.27
2.83,0,1.0914403364487566,11.4
2.93,0,1.102808233849552,11.74
3.03,0,1.1066237839776663,12.12
3.13,0,1.102808233849552,12.29
3.23,0,1.0952165553667361,12.36
3.34,0,1.0914403364487566,12.47
3.44,0,1.093956366272094,12.27
3.54,0,1.099005839432521,12.14
3.64,0,1.1040786199020731,12.11
3.74,0,1.105350469382843,12.1
3.84,0,1.102808233849552,12.0
3.94,0,1.1002718452957352,11.65
4.04,0,1.1002718452957352,11.43
4.15,0,1.1002718452957352,11.92
4.25,0,1.1002718452957352,12.11
4.35,0,1.1002718452957352,12.17
4.45,0,1.101539309541415,12.15
4.55,0,1.101539309541415,12.12
4.65,0,1.101539309541415,12.14
4.75,0,1.099005839432521,12.03
4.86,0,1.096478196143185,11.97
4.96,0,1.0977412902737136,11.98
5.06,0,1.099005839432521,12.22
5.16,0,1.101539309541415,12.43
5.26,0,1.101539309541415,12.62
5.36,0,1.099005839432521,12.67
5.46,0,1.0952165553667361,12.39
5.56,0,1.0952165553667361,12.35
5.67,0,1.096478196143185,12.38
5.77,0,1.099005839432521,12.47
5.87,0,1.1002718452957352,12.53
5.97,0,1.0977412902737136,12.4
6.07,0,1.0952165553667361,12.215
6.17,0,1.093956366272094,12.26
6.27,0,1.094586279463631,12.27
6.37,0,1.0971095614345971,12.285
6.47,0,1.099005839432521,12.215
6.58,0,1.099005839432521,12.12
6.68,0,1.096478196143185,11.97
6.78,0,1.0952165553667361,11.72
6.88,0,1.096478196143185,11.64
6.98,0,1.0977412902737136,11.64
7.08,0,1.099005839432521,11.59
7.18,0,1.1002718452957352,11.58
7.29,0,1.1002718452957352,11.5
7.39,0,1.099005839432521,11.35
7.49,0,1.1002718452957352,11.27
7.59,0,1.1002718452957352,11.31
7.69,0,1.1002718452957352,11.53
7.79,0,1.101539309541415,11.76
7.89,0,1.102808233849552,11.81
7.99,0,1.102808233849552,11.7
8.09,0,1.0876771376309997,9.56
8.2,0,1.0864256236170655,9.57
8.3,0,1.0851755496327806,9.65
8.4,0,1.0851755496327806,9.72
8.5,0,1.0851755496327806,9.77
