!CSV A.01.01
!Keysight Technologies,N5224B,MY61255146,A.15.50.09
!Date: Saturday, September 21, 2024 22:02:57
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
400000000,-12.580958,-20.167055
405000000,-13.378205,-24.404371
410000000,-14.194935,-29.340143
415000000,-15.02511,-34.692402
420000000,-15.933576,-41.592365
425000000,-17.055775,-49.134434
430000000,-18.39229,-55.918423
435000000,-19.641205,-61.863941
440000000,-20.713268,-69.257439
445000000,-22.072773,-76.808311
450000000,-23.10006,-83.4842
455000000,-23.877279,-90.265701
460000000,-24.244356,-97.782761
465000000,-24.106558,-107.03271
470000000,-23.821445,-118.69959
475000000,-23.731552,-131.72543
480000000,-23.970875,-143.23773
485000000,-24.298986,-149.90401
490000000,-24.188807,-153.61899
495000000,-23.72381,-156.81746
500000000,-23.047583,-160.97865
505000000,-22.360584,-165.61101
510000000,-21.640589,-171.99727
515000000,-21.299654,-179.72978
520000000,-21.427668,172.89861
525000000,-21.657251,168.14021
530000000,-21.858686,162.9816
535000000,-22.270502,157.26544
540000000,-22.970623,151.24142
545000000,-24.403568,145.71866
550000000,-26.340891,144.98373
555000000,-28.471558,152.0293
560000000,-29.591381,162.099
565000000,-30.599987,175.04863
570000000,-30.81785,-169.3532
575000000,-29.968176,-154.35768
580000000,-28.714979,-144.26613
585000000,-27.173311,-137.78824
590000000,-25.934008,-134.2507
595000000,-24.776836,-131.41537
600000000,-23.604908,-128.59096
605000000,-22.58672,-127.68893
610000000,-21.492933,-126.92914
615000000,-20.545122,-127.78748
620000000,-19.746643,-128.91032
625000000,-19.123165,-129.13824
630000000,-18.335205,-128.85718
635000000,-17.516584,-129.45526
640000000,-16.779667,-130.58197
645000000,-16.063797,-131.64229
650000000,-15.360876,-133.22517
655000000,-14.713663,-134.78073
660000000,-14.067254,-136.7462
665000000,-13.468734,-139.08542
670000000,-12.956503,-141.68213
675000000,-12.511153,-144.15826
680000000,-12.099622,-146.40559
685000000,-11.666838,-148.6778
690000000,-11.227956,-151.23026
695000000,-10.818433,-154.24062
700000000,-10.493771,-157.5058
705000000,-10.230974,-160.68805
710000000,-10.012103,-163.81013
715000000,-9.8264141,-166.86104
720000000,-9.6672468,-169.8896
725000000,-9.5387344,-172.85539
730000000,-9.4340229,-175.75949
735000000,-9.3463802,-178.64346
740000000,-9.2966309,178.43806
745000000,-9.2792501,175.67569
750000000,-9.2826385,173.09695
755000000,-9.2785559,170.67818
760000000,-9.2732601,168.1636
765000000,-9.2961597,165.57707
770000000,-9.3516197,162.9904
775000000,-9.451664,160.51175
780000000,-9.5782824,158.29034
785000000,-9.710844,156.35895
790000000,-9.8167906,154.52501
795000000,-9.9241581,152.67404
800000000,-10.026175,150.8007
805000000,-10.143922,148.84248
810000000,-10.272242,146.88182
815000000,-10.414155,144.84595
820000000,-10.567677,142.65643
825000000,-10.767692,140.24634
830000000,-11.046039,137.84879
835000000,-11.378148,135.76718
840000000,-11.723522,133.91255
845000000,-12.087471,132.1559
850000000,-12.474784,130.43575
855000000,-12.892965,128.70633
860000000,-13.372112,126.84339
865000000,-13.952603,124.93132
870000000,-14.686157,123.30054
875000000,-15.557857,122.45937
880000000,-16.551573,122.50589
885000000,-17.679056,123.98288
890000000,-18.906452,127.21144
895000000,-20.214355,133.14226
900000000,-21.429445,142.76231
905000000,-22.20624,156.92105
910000000,-21.960413,173.69202
915000000,-20.642334,-172.28964
920000000,-18.817509,-164.01904
925000000,-17.037882,-160.66251
930000000,-15.495286,-160.19998
935000000,-14.144445,-161.73204
940000000,-13.094241,-164.65146
945000000,-12.267349,-167.85764
950000000,-11.594025,-171.24812
955000000,-11.054818,-174.70642
960000000,-10.639735,-178.15663
965000000,-10.327768,178.70506
970000000,-10.05636,175.67427
975000000,-9.8317842,172.90106
980000000,-9.6531773,170.07043
985000000,-9.5028057,167.43169
990000000,-9.3884764,164.85521
995000000,-9.2876883,162.37668
1000000000,-9.2287588,159.82021
1005000000,-9.2098455,157.32214
1010000000,-9.2583075,155.0121
1015000000,-9.3317442,153.19569
1020000000,-9.4016685,151.76105
1025000000,-9.4372902,150.6367
1030000000,-9.4255781,149.7117
1035000000,-9.3402958,148.66035
1040000000,-9.2463799,147.11386
1045000000,-9.1842146,145.35629
1050000000,-9.1545315,143.47134
1055000000,-9.1681719,141.57654
1060000000,-9.2114992,139.83688
1065000000,-9.2684021,138.27286
1070000000,-9.302165,136.9319
1075000000,-9.3119431,135.42012
1080000000,-9.3448381,133.86136
1085000000,-9.3574324,132.24963
1090000000,-9.3867264,130.43983
1095000000,-9.4378729,128.52711
1100000000,-9.5172033,126.58689
1105000000,-9.6039371,124.69212
1110000000,-9.6961117,122.5733
1115000000,-9.8566914,120.2482
1120000000,-10.086213,118.15926
1125000000,-10.352715,116.4725
1130000000,-10.598569,115.15039
1135000000,-10.81318,113.8358
1140000000,-11.029359,112.42146
1145000000,-11.259313,110.94856
1150000000,-11.506027,109.3154
1155000000,-11.820886,107.60355
1160000000,-12.191523,106.04103
1165000000,-12.620689,104.72404
1170000000,-13.095477,103.72295
1175000000,-13.618105,103.00399
1180000000,-14.227309,102.93945
1185000000,-14.828001,103.9763
1190000000,-15.332803,105.69413
1195000000,-15.760474,107.48315
1200000000,-16.187847,109.38294
1205000000,-16.63265,111.84662
1210000000,-17.01108,114.92311
1215000000,-17.324873,118.6218
1220000000,-17.509706,122.83587
1225000000,-17.538633,127.18517
1230000000,-17.431179,131.37625
1235000000,-17.197077,135.14191
1240000000,-16.893488,138.46658
1245000000,-16.480398,141.4323
1250000000,-16.022228,143.67442
1255000000,-15.511379,145.21294
1260000000,-15.020713,146.14738
1265000000,-14.542059,146.72444
1270000000,-14.056884,146.86304
1275000000,-13.607554,146.58142
1280000000,-13.178648,146.17091
1285000000,-12.741526,145.45851
1290000000,-12.318082,144.3273
1295000000,-11.933929,142.75475
