!CSV A.01.01
!Keysight Technologies,N5224B,MY61255146,A.15.50.09
!Date: Saturday, September 21, 2024 22:06:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
400000000,-11.504712,-23.469578
405000000,-12.371184,-29.748268
410000000,-13.345138,-37.181156
415000000,-14.568777,-44.761501
420000000,-16.001291,-51.857334
425000000,-17.467699,-57.936295
430000000,-18.885813,-64.597939
435000000,-20.404186,-72.121361
440000000,-22.193472,-80.409332
445000000,-24.301615,-87.684624
450000000,-26.378416,-91.461578
455000000,-27.878448,-92.721069
460000000,-28.407534,-92.326653
465000000,-27.667269,-96.985237
470000000,-26.8267,-107.44681
475000000,-26.086353,-119.87337
480000000,-25.558729,-132.28995
485000000,-25.348364,-142.61421
490000000,-24.960651,-148.9666
495000000,-24.22476,-155.70398
500000000,-23.648392,-164.1739
505000000,-23.422424,-172.46289
510000000,-23.648949,-179.79298
515000000,-24.128107,176.23129
520000000,-24.633842,174.36481
525000000,-24.846962,176.39409
530000000,-24.525663,176.05713
535000000,-24.484907,174.64325
540000000,-24.314383,172.24759
545000000,-24.746,168.14482
550000000,-25.434217,168.8454
555000000,-25.77116,170.28543
560000000,-26.041491,171.44904
565000000,-26.39233,171.30519
570000000,-27.2876,171.91551
575000000,-28.388681,177.9729
580000000,-28.932747,-172.26091
585000000,-28.870544,-161.68082
590000000,-28.475986,-152.97003
595000000,-28.023878,-144.11226
600000000,-27.402548,-134.1783
605000000,-26.13118,-123.07816
610000000,-24.16408,-115.83142
615000000,-22.247093,-113.81569
620000000,-20.596012,-114.45454
625000000,-19.219427,-116.22206
630000000,-18.06061,-118.72665
635000000,-17.070869,-121.50558
640000000,-16.2271,-124.50305
645000000,-15.524754,-127.37566
650000000,-14.895162,-130.04105
655000000,-14.308215,-132.60316
660000000,-13.78723,-135.10529
665000000,-13.255117,-137.41095
670000000,-12.737446,-139.99399
675000000,-12.243651,-142.80272
680000000,-11.797083,-145.95369
685000000,-11.435916,-149.22092
690000000,-11.146968,-152.28821
695000000,-10.892482,-155.07538
700000000,-10.633541,-157.59106
705000000,-10.35686,-160.14455
710000000,-10.080216,-162.86505
715000000,-9.8401737,-165.83076
720000000,-9.6492729,-168.76321
725000000,-9.4987516,-171.67955
730000000,-9.3800745,-174.43597
735000000,-9.2790651,-177.05717
740000000,-9.184268,-179.61348
745000000,-9.088625,177.77667
750000000,-9.0174055,174.93665
755000000,-9.0045462,172.05446
760000000,-9.0546427,169.34033
765000000,-9.1286421,167.0533
770000000,-9.1679144,165.02313
775000000,-9.1728964,162.90392
780000000,-9.1745558,160.51927
785000000,-9.205307,157.90906
790000000,-9.2850752,155.23314
795000000,-9.4015026,152.67094
800000000,-9.5403662,150.2104
805000000,-9.6968222,147.83188
810000000,-9.8739824,145.52266
815000000,-10.072184,143.32254
820000000,-10.286165,141.20091
825000000,-10.521087,139.13107
830000000,-10.77702,137.19899
835000000,-11.038904,135.34746
840000000,-11.311302,133.41057
845000000,-11.621413,131.26837
850000000,-12.01815,128.98317
855000000,-12.513914,126.88825
860000000,-13.096927,125.11737
865000000,-13.751356,123.86224
870000000,-14.44566,122.95387
875000000,-15.210031,122.17288
880000000,-16.120441,121.58719
885000000,-17.261423,121.7179
890000000,-18.690044,123.56408
895000000,-20.37639,129.09094
900000000,-22.015116,140.75705
905000000,-22.741985,159.0069
910000000,-21.96974,177.02046
915000000,-20.293913,-170.67456
920000000,-18.436298,-164.44124
925000000,-16.742323,-162.4913
930000000,-15.366544,-162.83492
935000000,-14.207314,-164.13118
940000000,-13.159402,-166.04027
945000000,-12.231803,-169.07924
950000000,-11.497083,-172.86279
955000000,-10.98524,-176.97105
960000000,-10.659399,179.42767
965000000,-10.431383,176.42497
970000000,-10.249052,173.95842
975000000,-10.077443,171.9953
980000000,-9.8636189,170.14372
985000000,-9.6452618,168.15874
990000000,-9.45364,165.86826
995000000,-9.3023272,163.39755
1000000000,-9.2282171,160.81497
1005000000,-9.2397833,158.41438
1010000000,-9.2995548,156.45367
1015000000,-9.3630791,154.97177
1020000000,-9.3870497,153.84608
1025000000,-9.3540554,152.7605
1030000000,-9.2889862,151.56671
1035000000,-9.1993237,150.09276
1040000000,-9.1193094,148.41388
1045000000,-9.0537109,146.62949
1050000000,-8.9864731,144.75687
1055000000,-8.9346657,142.64461
1060000000,-8.9323196,140.37042
1065000000,-8.985116,138.26543
1070000000,-9.0577135,136.43039
1075000000,-9.1245413,134.77032
1080000000,-9.1934385,133.15976
1085000000,-9.2674713,131.62144
1090000000,-9.3276749,130.1149
1095000000,-9.3940449,128.43005
1100000000,-9.4923344,126.5853
1105000000,-9.6453791,124.81682
1110000000,-9.8183804,123.2673
1115000000,-9.9875031,121.83485
1120000000,-10.159995,120.3555
1125000000,-10.342731,118.84905
1130000000,-10.535336,117.2437
1135000000,-10.752172,115.52641
1140000000,-11.012013,113.70242
1145000000,-11.329187,112.03689
1150000000,-11.654593,110.65518
1155000000,-11.98707,109.27634
1160000000,-12.355884,107.99511
1165000000,-12.757354,106.8692
1170000000,-13.191837,106.0776
1175000000,-13.62376,105.54831
1180000000,-14.097182,105.0689
1185000000,-14.63923,105.1627
1190000000,-15.194604,106.01057
1195000000,-15.735306,107.61774
1200000000,-16.218613,109.90503
1205000000,-16.659845,112.61887
1210000000,-17.055119,116.01627
1215000000,-17.346239,119.92233
1220000000,-17.544304,124.18444
1225000000,-17.616432,128.57318
1230000000,-17.598675,133.04218
1235000000,-17.446615,137.63388
1240000000,-17.142635,141.84422
1245000000,-16.74892,145.48236
1250000000,-16.256166,148.48918
1255000000,-15.70225,150.76082
1260000000,-15.100039,152.19835
1265000000,-14.492607,152.66518
1270000000,-13.931705,152.3358
1275000000,-13.435278,151.54738
1280000000,-12.977653,150.54358
1285000000,-12.54304,149.26729
1290000000,-12.134865,147.72945
1295000000,-11.738039,145.91661
1300000000,-11.38264,143.77179
1305000000,-11.073364,141.4727
1310000000,-10.817584,139.07364
1315000000,-10.588278,136.71413
1320000000,-10.376513,134.32353
1325000000,-10.178732,131.81583
1330000000,-10.019905,129.03406
1335000000,-9.9236851,126.16303
1340000000,-9.8832722,123.38657
1345000000,-9.8836355,120.781
1350000000,-9.8984814,118.27592
1355000000,-9.9236984,115.78978
1360000000,-9.9662161,113.23169
1365000000,-10.0488,110.55952
1370000000,-10.171806,108.00672
1375000000,-10.317179,105.52625
1380000000,-10.477859,103.15525
1385000000,-10.653336,100.8176
1390000000,-10.844905,98.545052
1395000000,-11.037521,96.40213
1400000000,-11.236016,94.176781
1405000000,-11.45162,91.932671
1410000000,-11.704243,90.086006
1415000000,-11.960275,88.014099
1420000000,-12.230633,86.077965
1425000000,-12.513178,84.237503
1430000000,-12.802195,82.461922
1435000000,-13.108279,80.644798
1440000000,-13.465178,78.811951
1445000000,-13.886431,77.083832
1450000000,-14.351218,75.796089
1455000000,-14.829795,74.931107
1460000000,-15.306649,74.256851
1465000000,-15.788774,73.726837
1470000000,-16.298296,73.329292
1475000000,-16.833162,73.201088
1480000000,-17.372478,73.295242
1485000000,-17.914465,73.684097
1490000000,-18.447067,74.062386
1495000000,-19.045294,74.49794
1500000000,-19.71525,75.352921
1505000000,-20.423222,77.299263
1510000000,-21.071411,80.204102
1515000000,-21.614145,83.961205
1520000000,-22.022064,88.078278
1525000000,-22.331484,92.50808
1530000000,-22.503183,97.474396
1535000000,-22.497797,102.61398
1540000000,-22.312555,107.47742
1545000000,-21.971687,111.72778
1550000000,-21.529287,115.03149
1555000000,-21.056259,117.69756
1560000000,-20.584461,119.78096
1565000000,-20.122805,121.50811
1570000000,-19.607119,122.92604
1575000000,-19.05126,123.64462
1580000000,-18.523617,123.61472
1585000000,-18.065166,122.98985
1590000000,-17.68153,122.07739
1595000000,-17.315811,121.02513
1600000000,-16.992563,119.70547
1605000000,-16.716175,118.17369
1610000000,-16.477608,116.43411
1615000000,-16.285671,114.57747
1620000000,-16.090921,112.73853
1625000000,-15.911651,110.61411
1630000000,-15.770675,108.37114
1635000000,-15.642675,105.90588
1640000000,-15.552327,103.35733
1645000000,-15.490564,100.8772
1650000000,-15.437543,98.343002
1655000000,-15.401595,95.726784
1660000000,-15.389368,93.09343
1665000000,-15.419127,90.460968
1670000000,-15.484502,88.014252
1675000000,-15.544594,85.862
1680000000,-15.589507,83.824455
1685000000,-15.60405,81.70462
1690000000,-15.617147,79.152161
1695000000,-15.682865,76.291672
1700000000,-15.817344,73.311996
1705000000,-16.031282,70.36615
1710000000,-16.282963,67.737663
1715000000,-16.536375,65.287201
1720000000,-16.779066,62.815987
1725000000,-17.019432,60.22348
1730000000,-17.260286,57.31134
1735000000,-17.54973,54.173588
1740000000,-17.868526,50.959515
1745000000,-18.222649,47.663628
1750000000,-18.618927,44.445419
1755000000,-19.031849,41.326717
1760000000,-19.451189,38.302502
1765000000,-19.872013,35.323868
1770000000,-20.316341,32.260609
1775000000,-20.800224,29.180273
1780000000,-21.326988,26.245649
1785000000,-21.875708,23.483938
1790000000,-22.437748,20.69573
1795000000,-23.022505,17.523884
1800000000,-23.705906,13.724367
1805000000,-24.550781,9.5723572
1810000000,-25.575838,5.1081395
1815000000,-26.853212,0.49426565
1820000000,-28.3195,-3.730696
1825000000,-29.890905,-8.0819149
1830000000,-31.565348,-13.542172
1835000000,-33.268932,-22.165195
1840000000,-35.205761,-37.429863
1845000000,-37.102856,-61.192211
1850000000,-38.134354,-93.617622
1855000000,-37.638466,-125.12943
1860000000,-36.461979,-147.21416
1865000000,-35.352222,-160.83527
1870000000,-34.310432,-168.29703
1875000000,-33.099949,-172.41362
1880000000,-31.640377,-176.49486
